Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
107,2014,X-Men: Days of Future Past,2845899541,233921534,513941241
108,2012,Madagascar 3: Europe's Most Wanted,2797800564,216391482,530529789
109,2016,Suicide Squad,2207986545,325100054,421746840
110,2013,Monsters University,2064615817,268488329,474967481
111,2019,Ne Zha Zhi Mo Tong Jiang Shi,2044540523,3695533,739015718
112,2003,The Matrix Reloaded,2845899541,281553689,457023240
113,2009,Up,2797800564,293004164,438459213
114,2010,Inception,2207986545,292576195,436006270
115,2019,Liu Lang Di Qiu,2064615817,5875487,721970963
116,2005,The Chronicles of Narnia: The Lion t…,2044540523,291710957,428828615
117,2014,Captain America: The Winter Soldier,2845899541,259746958,454654931
118,2014,Dawn of the Planet of the Apes,2797800564,208545589,502098977
119,2014,The Amazing Spider-Man 2,2207986545,202853933,506142403
120,2007,Transformers,2064615817,319246193,389026399
121,2010,The Twilight Saga: Eclipse,2044540523,300531751,405571077
122,2017,It,2845899541,328828874,372254168
123,2021,Tang Ren Jie Tan An 3,2797800564,,698994069
124,2011,Mission: ImpossibleâGhost Protocol,2207986545,209397903,485315327
125,2013,Gravity,2064615817,274092705,415649487
126,2011,The Twilight Saga: Breaking Dawn Part 1,2044540523,281287133,408132918
127,2015,Mission: ImpossibleâRogue Nation,2845899541,195042377,493816615
128,2009,The Twilight Saga: New Moon,2797800564,296623634,390934093
129,1994,Forrest Gump,2207986545,330151138,349687122
130,2012,The Hunger Games,2064615817,408010692,269912687
131,2016,Doctor Strange,2044540523,232641920,443712561
132,1999,The Sixth Sense,2845899541,293506292,379300000
133,2013,Man of Steel,2797800564,291045518,376954000
134,2011,Kung Fu Panda 2,2207986545,165249063,499588484
135,2021,F9: The Fast Saga,2064615817,171456615,490956156
136,2002,Star Wars Ep. II: Attack of the Clones,2044540523,310676740,346018875
137,2017,Justice League,2845899541,229024295,426920914
138,2015,The Martian,2797800564,228433663,426677875
139,2003,Pirates of the Caribbean: The Curse o…,2207986545,305410819,348900000
140,2012,Men in Black 3,2064615817,179020854,475192631
141,2014,Interstellar,2044540523,188017894,463976974
142,2006,Ice Age: The Meltdown,2845899541,195330621,456568661
143,2018,Fantastic Beasts: The Crimes of Grind…,2797800564,159555901,491724574
144,2014,Big Hero 6,2207986545,222527828,427129579
145,2015,The Hunger Games: Mockingjay - Part 2,2064615817,281723902,367262885
146,2013,Thor: The Dark World,2044540523,206362140,438240376
147,2016,Moana,2845899541,248757044,386488915
148,2016,Sing,2797800564,270329045,362154566
149,2008,Kung Fu Panda,2207986545,215434591,416475940
150,2004,The Incredibles,2064615817,261441092,370000000
151,2011,Fast Five,2044540523,210031325,420132129
152,2007,Ratatouille,2845899541,206445654,420104041
153,2008,Hancock,2797800564,227946274,396287998
154,2018,Ant-Man and the Wasp,2207986545,216648740,406495920
155,2004,The Passion of the Christ,2064615817,370782930,251530705
156,2010,Iron Man 2,2044540523,312433331,308723058
157,2012,Life of Pi,2845899541,124987022,494323346
158,1997,The Lost World: Jurassic Park,2797800564,229086679,389552320
159,2014,How to Train Your Dragon 2,2207986545,177002924,437583346
160,2017,Logan,2064615817,226277068,387925247
161,2005,War of the Worlds,2044540523,234280354,372556181
162,2017,Transformers: The Last Knight,2845899541,130168683,472724657
163,2008,Mamma Mia!,2797800564,144130063,458761592
164,2008,Madagascar: Escape 2 Africa,2207986545,180174880,419505894
165,2006,Casino Royale,2064615817,167365000,427055283
166,2008,Quantum of Solace,2044540523,169368427,422323651
167,1997,Men in Black,2845899541,250690539,337100000
168,2011,The Hangover Part II,2797800564,254464305,332300000
169,2010,Tangled,2207986545,200821936,384752381
170,2007,I am Legend,2064615817,256393010,329139674
171,2008,Iron Man,2044540523,318604126,266567421
172,2006,Night at the Museum,2845899541,250863268,328583139
173,2018,Ready Player One,2797800564,137690172,441365481
174,2013,The Croods,2207986545,187168425,385900000
175,2015,Fifty Shades of Grey,2064615817,166167230,404627720
176,2011,The Smurfs,2044540523,142614158,421135165
177,2017,Kong: Skull Island,2845899541,168052812,393019247
178,2001,Monsters Inc.,2797800564,290149425,270334294
179,2011,Cars 2,2207986545,191450875,368704508
180,2005,Madagascar,2064615817,193595521,362964045
181,2012,Ted,2044540523,218665740,337350887
182,2004,The Day After Tomorrow,2845899541,186740799,369099318
183,2011,Puss in Boots,2797800564,149260504,405726973
184,2012,Brave,2207986545,237282182,317324350
185,1998,Armageddon,2064615817,201578182,353021818
186,2005,King Kong,2044540523,218080025,332437332
187,2000,Mission: Impossible 2,2845899541,215409889,334178627
188,1980,Star Wars Ep. V: The Empire Strikes Back,2797800564,291738960,257262282
189,2014,American Sniper,2207986545,350126372,197200000
190,2018,Tang Ren Jie Tan An 2,2064615817,1983984,542084590
191,2010,Despicable Me,2044540523,251513985,291950588
192,2016,X-Men: Apocalypse,2845899541,155442489,387095057
193,2011,Sherlock Holmes: A Game of Shadows,2797800564,186848418,348815025
194,2015,Cinderella,2207986545,201151353,333400000
195,2018,Hong Hai Xing Dong,2064615817,1543547,532057988
196,2015,The Revenant,2044540523,183637894,349300408
197,2008,WALL-E,2845899541,223808164,308699861
198,2013,World War Z,2797800564,202706711,329154939
199,2018,Ralph Breaks The Internet,2207986545,201091711,328199119
200,2014,Godzilla,2064615817,200676069,328400000
202,2018,The Meg,2044540523,145443742,381926973
203,2018,Hotel Transylvania 3: Summer Vacation,2845899541,167500092,359603103
204,2007,The Simpsons Movie,2797800564,183135014,343936008
205,2016,Mei Ren Yu,2207986545,3229457,521789022
206,2019,How to Train Your Dragon: The Hidden …,2064615817,160799505,361946858
207,2016,Kung Fu Panda 3,2044540523,143528619,377642206
208,2017,Dunkirk,2845899541,190068280,329383734
209,2015,Ant-Man,2797800564,180202163,338656286
210,1990,Ghost,2207986545,217631306,299968694
211,2004,Meet the Fockers,2064615817,279167575,237400000
212,1991,Terminator 2: Judgment Day,2044540523,203464105,311926778
213,2018,Dr. Seussâ The Grinch,2845899541,270834950,243767477
214,1999,Toy Story 2,2797800564,245852179,265506097
215,1992,Aladdin,2207986545,217350219,286700000
216,2009,Sherlock Holmes,2064615817,209028679,289409533
217,2012,Wreck-It Ralph,2044540523,189412677,307098844
218,1996,Twister,2845899541,241688385,254011615
219,2010,How to Train Your Dragon,2797800564,217581232,277289760
220,2010,Clash of the Titans,2207986545,163214888,330000000
221,2014,Rio 2,2064615817,131538435,361307856
222,2001,Shrek,2044540523,267655011,224157783
223,2009,Angels & Demons,2845899541,133375846,357500000
224,2013,Oz the Great and Powerful,2797800564,234770996,255588055
225,2017,War for the Planet of the Apes,2207986545,146880162,342712105
226,2019,Maleficent: Mistress of Evil,2064615817,113929605,375416890
227,2011,Rio,2044540523,143619809,343900000
228,2005,Mr. and Mrs. Smith,2845899541,186336279,299787811
229,1998,Saving Private Ryan,2797800564,216335085,268700000
230,2014,Teenage Mutant Ninja Turtles,2207986545,191204754,293800000
231,2012,Les Intouchables,2064615817,13182281,471448627
232,2003,Bruce Almighty,2044540523,242704995,241763613
233,2004,Troy,2845899541,133298577,349853463
234,2020,Kimetsu no Yaiba: Mugen Ressha-Hen,2797800564,47700000,430226595
235,1990,Home Alone,2207986545,285761243,190923432
236,2005,Charlie and the Chocolate Factory,2064615817,206459076,269366408
237,1983,Star Wars Ep. VI: Return of the Jedi,2044540523,309205079,165901098
238,1989,Indiana Jones and the Last Crusade,2845899541,197171806,277000000
239,2020,Ba bai,2797800564,,472643830
240,2011,Rise of the Planet of the Apes,2207986545,176760185,294226015
241,1975,Jaws,2064615817,260000000,210700000
242,2019,It: Chapter Two,2044540523,211593228,257973578
243,2015,Hotel Transylvania 2,2845899541,169700110,299800188
244,2014,The Lego Movie,2797800564,257784718,210300000
245,2021,Godzilla vs. Kong,2207986545,100563133,367300000
246,2013,Star Trek Into Darkness,2064615817,228778661,238602923
247,2009,The Hangover,2044540523,277322503,188165080
248,2019,Wo he wo de zu guo,2845899541,2323409,463094610
249,1999,The Matrix,2797800564,173396389,291980811
250,2018,Bumblebee,2207986545,127195589,338000000
251,2006,Cars,2064615817,244082982,217547576
252,2006,X-Men: The Last Stand,2044540523,234362462,224898484
253,1996,Mission: Impossible,2845899541,180981886,276716108
254,2000,Gladiator,2797800564,187683805,269868518
255,2014,Lucy,2207986545,126573960,330933816
256,2007,National Treasure: Book of Secrets,2064615817,219961501,237364303
257,2003,The Last Samurai,2044540523,111110575,345700000
258,2015,San Andreas,2845899541,155190832,301067707
259,2007,300,2797800564,210614939,243546996
260,2018,Wo Bi Shi Yao Shen,2207986545,6752,451176640
261,2001,Ocean's Eleven,2064615817,183417150,267311379
262,2012,Django Unchained,2044540523,162805434,287036132
263,2011,Thor,2845899541,181030624,268295994
264,2001,Pearl Harbor,2797800564,198539855,250699998
265,1999,Tarzan,2207986545,171091819,277100000
266,2019,The Secret Life of Pets 2,2064615817,158874395,287398620
267,2016,La La Land,2044540523,151101803,294506045
268,2007,The Bourne Ultimatum,2845899541,227471070,216572326
269,2009,Alvin and the Chipmunks: The Squeakquel,2797800564,219614612,223868601
270,2002,Men in Black 2,2207986545,190418803,251349000
271,1993,Mrs. Doubtfire,2064615817,219195051,222090952
272,2016,Warcraft,2044540523,47365290,391534534
273,1991,Beauty and the Beast,2845899541,206333165,232323678
274,2012,Les MisÃ©rables,2797800564,148809770,289610672
275,2001,The Mummy Returns,2207986545,202007640,233032755
276,2017,The Greatest Showman,2064615817,174340174,260133079
277,2020,Wo He Wo De Jia Xiang,2044540523,,433241288
278,2003,Terminator 3: Rise of the Machines,2845899541,150358296,282700000
279,1990,Pretty Woman,2797800564,178406268,254160093
280,2015,Terminator: Genisys,2207986545,89760956,342389938
281,2019,PokÃ©mon: Detective Pikachu,2064615817,144105346,287842212
282,2002,Die Another Day,2044540523,160942139,271000000
283,2018,A Star is Born,2845899541,215288866,216581657
284,2010,The Kingâs Speech,2797800564,138797449,292023719
285,1973,The Exorcist,2207986545,230347346,197867132
286,2018,Rampage,2064615817,101028233,326918984
287,2003,The Matrix Revolutions,2044540523,139270910,288029350
288,2000,Cast Away,2845899541,233632142,193598374
289,2020,Bad Boys For Life,2797800564,204417855,220119026
290,1990,Dances with Wolves,2207986545,184208842,239999963
291,2010,The Chronicles of Narnia: The Voyage …,2064615817,104386950,313800000
292,2019,Zhongguo jizhang,2044540523,706572,417143798
293,2008,The Chronicles of Narnia: Prince Caspian,2845899541,141621490,275719798
294,2013,The Wolverine,2797800564,132556852,283900000
295,1999,The Mummy,2207986545,155385488,261000000
296,2016,Jason Bourne,2064615817,162192920,253975396
297,2008,Sex and the City,2044540523,152647258,262600000
298,1988,Rain Man,2845899541,172825435,239974565
299,1989,Batman,2797800564,251188924,160160000
300,2013,Pacific Rim,2207986545,101802906,309200000
302,2017,The Mummy,2064615817,80101125,329852780
303,2017,Kingsman: The Golden Circle,2044540523,100234838,308568858
304,2002,Signs,2845899541,227969295,180281283
305,2003,X-Men 2,2797800564,214949694,191398936
306,2008,The Mummy: Tomb of the Dragon Emperor,2207986545,102491776,303268449
307,2015,Kingsman: The Secret Service,2064615817,128261724,276300000
308,2012,Prometheus,2044540523,126477084,275971181
309,2008,Twilight,2845899541,192769854,209510305
310,2009,Night at the Museum: Battle of the Sm…,2797800564,177243721,224987342
311,2016,Ice Age: Collision Course,2207986545,64063008,338093674
312,2019,Alita: Battle Angel,2064615817,85838210,316061830
313,2012,Snow White and the Huntsman,2044540523,155136755,245884991
314,2010,Tron: Legacy,2845899541,172062763,227803436
315,2006,Mission: Impossible III,2797800564,133501348,265886397
316,2018,Mamma Mia: Here We Go Again!,2207986545,120634935,273566224
317,2018,Solo: A Star Wars Story,2064615817,213767512,179383835
318,2006,Superman Returns,2044540523,200120000,190961192
319,1939,Gone with the Wind,2845899541,198680470,191844722
320,1991,Robin Hood: Prince of Thieves,2797800564,165493908,225006092
321,2013,The Wolf of Wall Street,2207986545,116949183,272969720
322,1978,Grease,2064615817,181813770,205670127
323,2009,Star Trek,2044540523,257730019,129109595
324,2002,Ice Age,2845899541,176387405,209728938
325,2015,Home,2797800564,177397510,208600386
326,1985,Back to the Future,2207986545,212259762,173250443
327,2006,Happy Feet,2064615817,198000317,187000000
328,2016,Independence Day: Resurgence,2044540523,103144286,281025138
329,2008,Slumdog Millionaire,2845899541,141330703,242494724
330,2001,Sen to Chihiro no Kamikakushi,2797800564,10049886,373636205
331,2017,Cars 3,2207986545,152901115,230640254
332,2019,Godzilla: King of the Monsters,2064615817,110500138,272799777
333,2007,Live Free or Die Hard,2044540523,134529403,247758744
334,2009,Monsters vs. Aliens,2845899541,198351526,183335854
335,2017,Fifty Shades Darker,2797800564,114434010,266933036
336,2012,Hotel Transylvania,2207986545,148313048,230346094
337,2012,Taken 2,2064615817,139854287,237953117
338,2019,Once Upon a Timeâ¦in Hollywood,2044540523,142502728,235059311
339,1998,Godzilla,2845899541,136314294,239685706
340,2013,G.I. Joe: Retaliation,2797800564,122523060,253217645
341,2018,Spider-Man: Into The Spider-Verse 3D,2207986545,190173195,185481424
342,2002,My Big Fat Greek Wedding,2064615817,241438208,133451826
343,2009,X-Men Origins: Wolverine,2044540523,179883157,194942603
344,2000,What Women Want,2845899541,182805123,191300000
345,2011,The Adventures of Tintin,2797800564,77591831,296402120
346,2018,Fifty Shades Freed,2207986545,100407760,271577258
347,2004,Shark Tale,2064615817,161412000,210329123
348,2011,Captain America: The First Avenger,2044540523,176654505,193915271
349,1998,There's Something About Mary,2845899541,176484651,193400000
350,2015,Mad Max: Fury Road,2797800564,153636354,213821520
351,1981,Raiders of the Lost Ark,2207986545,225686079,141766000
352,2007,The Golden Compass,2064615817,70107728,297154830
353,2014,Gone Girl,2044540523,167767189,199393592
354,2014,Edge of Tomorrow,2845899541,100206256,266822724
355,2018,Xi Hong Shi Shou Fu,2797800564,,366961920
356,2014,Penguins of Madagascar,2207986545,83350911,283591620
357,2005,Hitch,2064615817,177784257,189000000
358,2019,1917,2044540523,159227644,207387077
359,1995,Die Hard: With a Vengeance,2845899541,100012499,266089167
360,2001,Jurassic Park III,2797800564,181166115,184733885
361,2009,Terminator Salvation,2207986545,125322469,240169323
362,1994,True Lies,2064615817,146282411,219017589
363,1995,Toy Story,2044540523,192523233,172747718
364,1999,Notting Hill,2845899541,116089678,247628518
365,2019,Shazam!,2797800564,140371656,223292877
366,2018,The Nun,2207986545,117450119,245941528
367,1998,A Bug's Life,2064615817,162798565,200296754
368,2004,Ocean's Twelve,2044540523,125531634,237457442
369,2007,Alvin and the Chipmunks,2845899541,217326974,145278059
370,2001,Planet of the Apes,2797800564,180011740,182200000
371,2013,The Hangover 3,2207986545,112200072,249800000
372,2020,Tenet,2064615817,57929000,303946852
373,1999,The World is Not Enough,2044540523,126930660,234800000
374,2018,Zhuo yao ji 2,2845899541,706153,360977662
375,2009,Fast & Furious,2797800564,155064265,204283568
376,2015,Zhuo yao ji,2207986545,32766,359262825
377,2005,Batman Begins,2064615817,205343774,153660728
378,1992,Home Alone 2: Lost in New York,2044540523,173585516,185409334
379,2002,Minority Report,2845899541,132024714,226800000
380,1994,The Flintstones,2797800564,130531208,227968792
381,2016,Kimi no na wa,2207986545,5000181,352065557
382,1986,Top Gun,2064615817,180012912,176999033
383,1995,Goldeneye,2044540523,106429941,250000000
384,1999,American Beauty,2845899541,130058047,226200000
385,2000,Dinosaur,2797800564,137748063,218400000
386,2002,Catch Me if You Can,2207986545,164606800,191005491
387,2011,X-Men: First Class,2064615817,146408305,209000000
388,2014,Night at the Museum: Secret of the Tomb,2044540523,113746621,240010000
389,1993,The Fugitive,2845899541,183875760,169839557
390,2013,The Great Gatsby,2797800564,144840419,208800000
391,2019,Dumbo,2207986545,114766307,238400000
392,2014,Noah,2064615817,101200044,251631021
393,1992,Basic Instinct,2044540523,117727224,234972776
394,2016,The Angry Birds Movie,2845899541,107509366,244818521
395,2021,Black Widow,2797800564,175777006,176500000
396,2010,The Karate Kid,2207986545,176591618,175183320
397,2017,Murder on the Orient Express,2064615817,102826543,248940604
398,1994,The Mask,2044540523,119920129,231700000
399,1988,Who Framed Roger Rabbit?,2845899541,154112492,197387508
400,2012,Dr. Seussâ The Lorax,2797800564,214030500,136946253
402,1998,Deep Impact,2207986545,140464664,209000000
403,2011,Alvin and the Chipmunks: Chipwrecked,2064615817,133107389,215981134
404,2016,The Legend of Tarzan,2044540523,126643061,222258964
405,2018,Mary Poppins Returns,2845899541,171958438,176942594
406,2004,I Robot,2797800564,144801023,203828562
407,2013,The Smurfs 2,2207986545,71017784,277529739
408,2014,The Maze Runner,2064615817,102427862,245891999
409,2001,Rush Hour 2,2044540523,226164286,121261546
410,1995,Pocahontas,2845899541,141579773,205520227
411,2018,Peter Rabbit,2797800564,115234093,231493279
412,2000,How the Grinch Stole Christmas,2207986545,260348825,85096578
413,2017,xXx: Return of Xander Cage,2064615817,44898413,300134946
414,2006,Over the Hedge,2044540523,155019340,188377907
415,2016,Trolls,2845899541,153707064,189535549
416,2013,Now You See Me,2797800564,117723989,225045211
417,2008,Wanted,2207986545,134508551,207907909
418,1977,Close Encounters of the Third Kind,2064615817,169100479,171700000
419,2007,Enchanted,2044540523,127706877,212677264
420,1997,Tomorrow Never Dies,2845899541,125304276,214200000
421,1995,Batman Forever,2797800564,184031112,152498032
422,2010,Prince of Persia: Sands of Time,2207986545,90759676,245600000
423,1996,The Rock,2064615817,134069511,202000000
424,1995,Apollo 13,2044540523,173772767,162029504
425,2016,Star Trek Beyond,2845899541,158848340,176825368
426,2018,A Quiet Place,2797800564,188024361,146852309
427,2017,Never Say Die,2207986545,,334536622
428,2016,The Great Wall,2064615817,45157105,289329747
429,2015,The Good Dinosaur,2044540523,123087120,210683917
430,2005,Fantastic Four,2845899541,154696080,178436670
431,1984,Indiana Jones and the Temple of Doom,2797800564,179880271,153200000
432,1989,Back to the Future Part II,2207986545,118450002,213521879
433,2014,22 Jump Street,2064615817,191719337,139614539
434,2004,National Treasure,2044540523,173005002,158318408
435,2010,Black Swan,2845899541,106954678,224312032
436,2014,300: Rise of an Empire,2797800564,106580051,224200000
437,2000,Meet the Parents,2207986545,166225040,164200000
438,2008,The Curious Case of Benjamin Button,2064615817,127509326,202122632
439,2000,The Perfect Storm,2044540523,182618434,146093000
440,2016,Now You See Me 2,2845899541,65075540,263249467
441,1986,Crocodile Dundee,2797800564,174803506,153400000
442,1995,Se7en,2207986545,100125643,228000000
443,2008,Bolt,2064615817,114053579,213961450
444,2015,Taken 3,2044540523,89256424,238400000
445,2019,Feng Kuang De Wai Xing Ren,2845899541,,326150303
446,2006,The Devil Wears Prada,2797800564,124740460,201332695
447,2019,John Wick: Chapter 3 â Parabellum,2207986545,171016727,154658268
448,1996,The Hunchback of Notre Dame,2064615817,100138851,225361149
449,2010,Robin Hood,2044540523,105487148,216971858
450,1993,Schindlerâs List,2845899541,96898818,225298314
451,2010,Megamind,2797800564,148415853,173471355
452,1987,Fatal Attraction,2207986545,156645693,163454307
453,2018,Green Book,2064615817,85080171,234949217
454,2010,The Last Airbender,2044540523,131772187,187941694
455,1992,Lethal Weapon 3,2845899541,144731527,174968473
456,2012,Journey 2: The Mysterious Island,2797800564,103860290,214285872
457,2013,The Conjuring,2207986545,137400141,180344261
458,2001,A Beautiful Mind,2064615817,170708996,146959062
459,2009,Inglourious Basterds,2044540523,120774594,196140670
460,1984,Beverly Hills Cop,2845899541,234760478,81539522
461,2009,Disneyâs A Christmas Carol,2797800564,137855863,177853834
462,1997,Air Force One,2207986545,172956409,142311944
463,2009,The Proposal,2064615817,163958031,150751686
464,1997,As Good as it Gets,2044540523,148478011,165633912
465,2016,Resident Evil: The Final Chapter,2845899541,26844692,287256498
466,2012,Battleship,2797800564,65233400,248244317
467,2019,Knives Out,2207986545,165364060,147588118
468,2017,Wonder,2064615817,132422809,180332406
469,2004,The Polar Express,2044540523,188578855,124140582
470,1999,Austin Powers: The Spy Who Shagged Me,2845899541,206040085,106343402
471,2012,The Expendables 2,2797800564,85028192,226951064
472,2007,Ocean's Thirteen,2207986545,117144465,194600000
473,2015,The SpongeBob Movie: Sponge Out of Water,2064615817,162994032,148019149
474,2004,The Bourne Supremacy,2044540523,176087450,134913674
475,2010,Little Fockers,2845899541,148438600,162211974
476,2017,The Lego Batman Movie,2797800564,175750384,134820176
477,2015,Maze Runner: The Scorch Trials,2207986545,81697192,228868970
478,2016,The Conjuring 2: The Enfield Poltergeist,2064615817,102470008,207731391
479,1999,Runaway Bride,2044540523,152257509,157880669
480,2005,Chicken Little,2845899541,135386665,174657158
481,1996,Ransom,2797800564,136492681,172207319
482,2017,Qian Ren 3: Yan Zhi Da Zuo Zhan,2207986545,837791,306710033
483,2006,The Pursuit of Happyness,2064615817,162586036,144725057
484,2014,The Fault in Our Stars,2044540523,124872350,182294484
485,2012,Rise of the Guardians,2845899541,103412758,203488144
486,2002,Chicago,2797800564,170687518,136083027
487,2009,The Blind Side,2207986545,255959475,49746319
488,2017,Annabelle: Creation,2064615817,102092201,203292664
489,2012,Wrath of the Titans,2044540523,83670083,221600000
490,2016,Dangal,2845899541,12391761,292757700
491,2020,Sonic The Hedgehog,2797800564,146066470,158895211
492,2018,Skyscraper,2207986545,68420120,236448841
493,2013,A Good Day to Die Hard,2064615817,67349198,236900000
494,1996,101 Dalmatians,2044540523,136189294,168010706
495,1998,Mulan,2845899541,120620254,182879746
496,1997,Liar Liar,2797800564,181410615,121300000
